galaxy,R_kpc,Vobs_kms,Verr_kms,Vmodel_kms,resid_kms,z,y,a_bar_mps2,a_vac_mid_mps2,a_vac_out_mps2
DDO064,0.3,13.9,4.62,10.75745876943631,3.1425412305636904,0.6802037295592404,-1.9024648749941246,1.5021606149444357e-12,1.2366621995868717e-12,9.762258511469393e-12
DDO064,0.49,15.6,4.62,15.477376072011968,0.12262392798803212,0.026541975754985306,-1.5927263904412234,3.0651720418858303e-12,2.0119068495568536e-12,1.0766308642863204e-11
DDO064,0.69,18.4,4.62,20.10561321355541,-1.705613213555413,-0.3691803492544184,-1.394192568860301,4.841597445327253e-12,2.736216697605551e-12,1.14082529371568e-11
DDO064,0.89,22.5,4.62,22.288652408453427,0.21134759154657345,0.04574623193648776,-1.4445345171162756,4.311682061003601e-12,2.5318334633625617e-12,1.1246005637281821e-11
DDO064,1.09,26.5,4.62,25.154146208087727,1.3458537919122726,0.29131034456975596,-1.4036199849518545,4.73763131961053e-12,2.696772850916057e-12,1.1377905482395947e-11
DDO064,1.29,35.3,4.62,28.758210971534933,6.541789028465065,1.4159716511829143,-1.3050298579477915,5.944993554533057e-12,3.1377368059416037e-12,1.1694300041451132e-11
DDO064,1.48,40.5,4.62,32.789711586130785,7.710288413869215,1.6688935960755875,-1.190180303328064,7.744634789223781e-12,3.738867629386073e-12,1.2059558846266046e-11
DDO064,1.68,44.2,4.89,35.88996878825156,8.310031211748445,1.699392885838128,-1.1433637515727875,8.626159705960873e-12,4.014356052527472e-12,1.2207192217733153e-11
DDO064,1.88,46.3,4.62,38.35400604693569,7.94599395306431,1.7199121110528808,-1.1261092358237352,8.975776092083998e-12,4.120715120892384e-12,1.2261396258771132e-11
DDO064,2.08,46.4,4.62,40.19888017897322,6.201119821026779,1.3422337274949738,-1.1321438871550602,8.851917525465187e-12,4.083213207549719e-12,1.2242451901202258e-11
DDO064,2.27,46.3,4.62,41.343032391775665,4.956967608224332,1.0729367117368684,-1.1589000070728266,8.323025763565968e-12,3.920844571232189e-12,1.2158288688225355e-11
DDO064,2.37,46.4,6.73,42.04130458718822,4.358695412811777,0.6476516215173517,-1.167222774364533,8.165042914574582e-12,3.8716133388966846e-12,1.2132054108693535e-11
DDO064,2.98,46.9,8.65,45.33359072265924,1.5664092773407603,0.1810877777272555,-1.2368389552132668,6.95572319553336e-12,3.4824029062676847e-12,1.1911663010564579e-11
